Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Problematic,Trad,22,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,Hog Jowls,Trad,17,gb2,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,Sir George,Trad,13,gb2,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ The Pleb,Trad,5,gb1,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,V0 problem on left,Boulder,V0,gb2,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,V1 Problem (a),Boulder,V1,gb3,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,★ Traverse,Boulder,V3,gb3,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,★ V4 Problem,Boulder,V4,gb3,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,★★ V3 pocket problem,Boulder,V3,gb3,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,★ V1 Problem (b),Boulder,V1,gb3,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,★ V0 Juggy Arete,Boulder,V0,gb2,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,V0 Problem,Boulder,V0-,gb2,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,★★ Brain Death,Boulder,23,gb3,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,★ Brain Death - Piker's Variant,Boulder,V3,gb3,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,★★ L,Boulder,V3,gb3,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,★★ S,Boulder,V2,gb3,"-36.76649, 141.85169"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,BrainDeathBoulder,★★ D,Boulder,V3,gb3,"-36.76649, 141.85169"
